G	ifd_prop	time_to_IFD	sd_intake	
0	0.998	8.71425	0.00980624	
10	0.998	8.77821	0.00873824	
20	0.992	9.37636	0.0121877	
30	0.991	9.51239	0.0115511	
40	0.993	8.5178	0.012255	
50	0.997	8.92235	0.00995839	
60	0.994	8.77715	0.012002	
70	0.995	9.22442	0.010664	
80	0.996	8.8916	0.0108265	
90	0.995	8.89103	0.00947783	
100	0.997	8.80579	0.00977501	
110	0.992	9.15464	0.0105564	
120	0.993	9.30248	0.0125703	
130	0.995	8.90815	0.0116166	
140	0.994	9.29363	0.0114813	
150	0.987	9.50222	0.0124203	
160	0.993	9.22389	0.0109313	
170	0.995	8.87614	0.0108424	
180	0.993	9.15128	0.0112413	
190	0.992	9.17966	0.0105043	
200	0.996	8.46997	0.0103175	
210	0.995	8.96232	0.011146	
220	0.996	8.79503	0.00984954	
230	0.995	8.71616	0.010864	
240	0.993	9.19009	0.0113607	
250	0.994	9.00046	0.0102806	
260	0.996	9.1369	0.011283	
270	0.993	9.58256	0.0115396	
280	0.996	9.0945	0.00974146	
290	0.992	9.76636	0.0120766	
300	0.995	8.79112	0.00998975	
310	0.998	8.66259	0.00993515	
320	0.991	9.5783	0.0116563	
330	0.993	9.35986	0.0117588	
340	0.998	8.5188	0.00868745	
350	0.995	8.97364	0.011616	
360	0.996	9.17917	0.0101725	
370	0.993	8.95749	0.0112335	
380	0.991	9.5889	0.0127897	
390	0.995	9.43379	0.0103485	
400	0.994	8.88181	0.0121337	
410	0.996	8.87678	0.0115102	
420	0.996	9.07024	0.0114147	
430	0.994	8.8258	0.0103506	
440	0.994	9.22059	0.0098785	
450	0.991	9.47703	0.0129771	
460	0.992	9.28091	0.0127508	
470	0.994	8.9265	0.0113794	
480	0.995	9.27903	0.0112034	
490	0.989	8.86597	0.0126019	
500	0.992	9.54553	0.0116373	
510	0.994	8.98584	0.0109201	
520	0.998	8.89394	0.00960671	
530	0.999	8.70168	0.0101781	
540	0.992	9.25192	0.0114083	
550	0.99	9.35241	0.0111178	
560	0.997	7.91018	0.012043	
570	0.996	8.95079	0.0107458	
580	0.993	9.54228	0.0124064	
590	0.994	8.9295	0.0123122	
600	0.993	8.64927	0.0119768	
610	0.993	9.47683	0.0106187	
