G	ifd_prop	time_to_IFD	sd_intake	
1490	0.99945	9.62027	7.46682e-05	
1500	0.99969	9.27021	4.8072e-05	
1510	0.99968	9.84036	5.83593e-05	
1520	0.99972	9.3204	5.13955e-05	
1530	0.99964	9.14036	5.17196e-05	
1540	0.99967	9.24024	6.76979e-05	
1550	0.99947	10.0003	7.33561e-05	
1560	0.99974	9.27016	5.52899e-05	
1570	0.99986	9.64023	4.83833e-05	
1580	0.99963	9.96019	5.82146e-05	
1590	0.99951	9.95019	7.22713e-05	
1600	0.99958	9.49031	7.04672e-05	
1610	0.99964	9.60033	5.98933e-05	
1620	0.99963	9.51031	5.81789e-05	
1630	0.99953	9.74035	7.56569e-05	
1640	0.99953	9.84026	6.36777e-05	
1650	0.9998	9.5504	6.09146e-05	
1660	0.99957	9.79028	6.8579e-05	
1670	0.9997	9.03015	6.08879e-05	
1680	0.99967	9.12025	6.85479e-05	
1690	0.99951	9.65014	5.62939e-05	
1700	0.99935	9.77029	8.3214e-05	
1710	0.99933	9.49029	8.5537e-05	
1720	0.9996	9.50036	6.03777e-05	
1730	0.9997	9.50024	5.54783e-05	
1740	0.99945	9.56027	5.40737e-05	
1750	0.99958	9.26023	6.86627e-05	
1760	0.9994	9.7602	6.08437e-05	
1770	0.99942	9.82043	7.13664e-05	
1780	0.99951	9.40024	6.41988e-05	
1790	0.99933	9.84031	7.50652e-05	
1800	0.99973	9.81023	6.4701e-05	
1810	0.99922	9.88027	6.37004e-05	
1820	0.99988	9.47032	4.83853e-05	
1830	0.99963	9.55028	6.52914e-05	
1840	0.99956	9.63026	5.61473e-05	
1850	0.9991	9.73018	6.4909e-05	
1860	0.99947	9.90039	6.79946e-05	
1870	0.99967	9.22024	5.6704e-05	
1880	0.99926	9.98022	7.33822e-05	
1890	0.99928	9.80035	6.91083e-05	
1900	0.99944	9.61033	6.13008e-05	
1910	0.99975	9.75014	4.45143e-05	
1920	0.99896	9.89053	9.1578e-05	
1930	0.99941	9.94023	7.60351e-05	
1940	0.9997	9.29025	4.66777e-05	
1950	0.99942	9.28023	5.89815e-05	
1960	0.99918	9.78019	6.91041e-05	
1970	0.99911	9.7502	8.32607e-05	
1980	0.99923	9.68027	7.61143e-05	
1990	0.99945	9.91037	7.81638e-05	
2000	0.99883	10.0003	0.000107851	
2010	0.99924	9.85024	7.6213e-05	
2020	0.99869	9.85023	0.000104394	
2030	0.99923	9.81023	9.23835e-05	
2040	0.99894	9.95043	9.70402e-05	
2050	0.99908	9.72017	7.30045e-05	
2060	0.99934	9.59036	6.98755e-05	
2070	0.99934	9.63033	8.39394e-05	
2080	0.99888	10.0004	8.40208e-05	
2090	0.99904	9.92032	8.13472e-05	
2100	0.99932	9.72024	6.22928e-05	
2110	0.99906	9.82023	8.647e-05	
2120	0.99931	9.57022	7.19608e-05	
2130	0.99912	9.87031	9.01405e-05	
2140	0.99921	9.85036	7.18125e-05	
2150	0.99865	9.8404	9.6359e-05	
2160	0.99932	9.73031	6.89683e-05	
2170	0.9989	9.99024	8.85971e-05	
2180	0.9989	10.0003	0.000110403	
2190	0.99904	9.91027	8.90175e-05	
2200	0.9994	9.66031	7.26992e-05	
2210	0.99896	9.86035	8.67027e-05	
2220	0.99886	9.81038	8.67059e-05	
2230	0.99925	9.95029	7.10327e-05	
2240	0.99863	10.0003	0.000111911	
2250	0.999	10.0003	8.81714e-05	
2260	0.99904	10.0003	9.34566e-05	
2270	0.99924	9.77034	6.74743e-05	
2280	0.99852	9.99024	0.000102559	
2290	0.99879	9.98039	0.000112488	
2300	0.9989	9.97011	9.68668e-05	
2310	0.99897	9.57034	8.66627e-05	
2320	0.99868	9.86039	0.00010666	
2330	0.99914	9.73033	7.98457e-05	
2340	0.99888	9.89045	0.000100604	
2350	0.99889	9.79034	0.000101897	
