G	ifd_prop	time_to_IFD	sd_intake	
1500	0.99867	9.81028	9.16651e-05	
1510	0.99743	9.99032	0.00010735	
1520	0.99688	10.0004	0.000138978	
1530	0.99702	10.0002	0.00014238	
1540	0.9978	10.0005	0.00013164	
1550	0.99742	10.0005	0.000149358	
1560	0.99815	9.8504	0.000107025	
1570	0.99658	10.0005	0.000163341	
1580	0.9964	10.0003	0.000136396	
1590	0.99764	9.72037	0.000133826	
1600	0.99778	10.0004	0.000129876	
1610	0.99808	9.82032	0.000110776	
1620	0.99702	10.0004	0.000152986	
1630	0.99575	10.0003	0.000184374	
1640	0.99582	10.0003	0.000164735	
1650	0.99619	10.0004	0.000171668	
1660	0.99641	10.0002	0.000159495	
1670	0.99592	9.87024	0.000182516	
1680	0.99608	10.0003	0.000152047	
1690	0.99579	10.0003	0.000190778	
1700	0.99388	10.0004	0.000236201	
1710	0.99445	10.0004	0.000201808	
1720	0.99494	10.0004	0.000196719	
1730	0.99594	10.0003	0.000193526	
1740	0.9956	10.0002	0.000227057	
1750	0.99465	10.0004	0.000201123	
1760	0.99406	10.0005	0.000188783	
1770	0.99371	10.0003	0.000216207	
1780	0.99531	10.0006	0.000222131	
1790	0.99373	10.0003	0.000219259	
1800	0.99305	10.0005	0.000235029	
1810	0.99359	10.0003	0.000228606	
1820	0.99479	10.0005	0.000183055	
1830	0.99412	10.0004	0.00022808	
1840	0.99354	10.0005	0.000236405	
1850	0.99372	10.0004	0.000202146	
1860	0.99193	10.0005	0.000273529	
1870	0.99347	10.0003	0.000224862	
1880	0.9936	10.0008	0.000227866	
1890	0.99113	10.0003	0.000249742	
1900	0.99129	10.0007	0.000264651	
1910	0.99133	10.0003	0.000241804	
1920	0.9907	10.0003	0.000259333	
1930	0.99008	10.0003	0.000269077	
1940	0.99123	10.0003	0.000247505	
1950	0.99135	10.0003	0.000271055	
1960	0.98885	10.0003	0.000267807	
1970	0.98843	10.0005	0.000302519	
1980	0.98669	10.0004	0.000305507	
1990	0.98962	10.0005	0.000286291	
2000	0.98778	10.0004	0.000313618	
2010	0.98866	10.0005	0.000275756	
2020	0.98521	10.0006	0.000351523	
2030	0.98507	10.0002	0.000337825	
2040	0.98597	10.0004	0.000312482	
2050	0.98801	10.0006	0.000321207	
2060	0.98094	10.0007	0.000400281	
2070	0.98733	10.0004	0.000342199	
2080	0.98583	10.0002	0.000311543	
2090	0.98899	10.0003	0.000274556	
2100	0.98419	10.0008	0.000347241	
2110	0.98677	10.0007	0.000313689	
2120	0.98332	10.0009	0.0003674	
2130	0.98529	10.0005	0.000337211	
2140	0.98206	10.001	0.000388524	
2150	0.97854	10.0004	0.000447739	
2160	0.97952	10.0003	0.000407953	
2170	0.97818	10.0004	0.000437	
2180	0.97699	10.0006	0.000435924	
2190	0.98057	10.0004	0.000391277	
2200	0.97886	10.0005	0.000395376	
2210	0.97568	10.0007	0.000438989	
2220	0.9777	10.0006	0.000418845	
2230	0.97602	10.0006	0.000445033	
2240	0.97235	10.0004	0.000507468	
2250	0.97108	10.0004	0.000499409	
2260	0.97732	10.0009	0.000433679	
2270	0.97529	10.0008	0.000437934	
2280	0.97639	10.0007	0.000453959	
2290	0.9737	10.0005	0.000454919	
2300	0.96785	10.0006	0.000497461	
2310	0.96939	10.0008	0.000512666	
2320	0.96845	10.0005	0.000502461	
2330	0.97007	10.0009	0.000509917	
2340	0.96871	10.0003	0.000459359	
2350	0.96946	10.0008	0.000496351	
2360	0.97083	10.0008	0.000484137	
2370	0.96883	10.0004	0.000467217	
2380	0.96591	10.0008	0.000511092	
2390	0.96986	10.0005	0.000521343	
2400	0.96105	10.0007	0.000573141	
2410	0.95855	10.0009	0.000627095	
2420	0.95805	10.0004	0.000570795	
2430	0.96339	10.0007	0.000583623	
2440	0.95363	10.0007	0.000598031	
2450	0.94985	10.0007	0.000632609	
2460	0.95683	10.0005	0.000556987	
2470	0.95497	10.0008	0.000534749	
2480	0.95575	10.0007	0.000627668	
2490	0.95749	10.0005	0.00056547	
2500	0.94956	10.0007	0.000651753	
2510	0.94578	10.0009	0.000598405	
2520	0.95391	10.0006	0.000666935	
2530	0.95056	10.0009	0.000644152	
2540	0.95874	10.0012	0.000573861	
2550	0.94918	10.0005	0.0006514	
2560	0.94572	10.0006	0.000590864	
2570	0.94123	10.0007	0.000675305	
2580	0.94223	10.0014	0.00067025	
2590	0.93899	10.001	0.000787438	
2600	0.94398	10.0008	0.000646053	
2610	0.94148	10.0006	0.000729626	
2620	0.94269	10.0006	0.000701774	
2630	0.94164	10.0012	0.000709787	
2640	0.93498	10.0007	0.000701361	
2650	0.94153	10.0012	0.000704799	
2660	0.94634	10.001	0.000685215	
2670	0.93633	10.0006	0.000756737	
2680	0.93551	10.001	0.000704646	
2690	0.93192	10.0009	0.000746129	
2700	0.92518	10.001	0.000752116	
2710	0.93669	10.0008	0.000719182	
2720	0.93229	10.0007	0.000819477	
2730	0.93403	10.0012	0.000755331	
2740	0.92495	10.0012	0.000832647	
2750	0.92051	10.0012	0.00080067	
2760	0.92767	10.0008	0.000733867	
2770	0.92946	10.0009	0.00074826	
2780	0.92212	10.0016	0.000787069	
2790	0.91881	10.0013	0.000849575	
2800	0.91739	10.0007	0.000866295	
2810	0.9199	10.0009	0.000808892	
2820	0.91655	10.0014	0.000825278	
2830	0.93134	10.0007	0.000834975	
2840	0.91146	10.0008	0.000867173	
2850	0.9161	10.0015	0.000805138	
2860	0.92111	10.0016	0.00079007	
2870	0.90843	10.001	0.000858964	
2880	0.91026	10.0011	0.000858231	
2890	0.90696	10.0013	0.000901769	
2900	0.92145	10.0011	0.000786436	
2910	0.91464	10.0012	0.000860259	
2920	0.90684	10.0009	0.000867559	
2930	0.9044	10.0016	0.0008719	
2940	0.90925	10.0005	0.000895386	
2950	0.91297	10.001	0.00086977	
2960	0.90793	10.0011	0.000874877	
2970	0.91686	10.0011	0.000826841	
2980	0.91759	10.0008	0.000793796	
2990	0.91155	10.0009	0.000875791	
3000	0.9054	10.0008	0.000866786	
3010	0.90081	10.0008	0.00089609	
3020	0.892	10.0018	0.00092056	
3030	0.88534	10.001	0.000958064	
3040	0.889	10.0009	0.000952009	
3050	0.90526	10.0011	0.000882742	
