G	ifd_prop	time_to_IFD	sd_intake	
4840	0.9993	9.20332	0.00304778	
4850	0.9982	9.78416	0.00315509	
4860	0.9988	9.66249	0.00286269	
4870	0.9984	9.73239	0.00272663	
4880	0.9991	9.59248	0.00287867	
4890	0.9986	9.5533	0.00296683	
4900	0.9987	9.84237	0.00315638	
4910	0.999	9.66235	0.00297982	
4920	0.9983	9.51247	0.00305992	
4930	0.9981	9.68147	0.00310034	
4940	0.999	9.29228	0.0028539	
4950	0.9985	9.88188	0.00310163	
4960	0.9983	9.38312	0.00299831	
4970	0.9996	8.87197	0.0029088	
4980	0.9985	9.2922	0.00301986	
4990	0.998	9.72315	0.00297824	
5000	0.9985	9.69316	0.00279522	
5010	0.9984	9.66221	0.00281441	
5020	0.9989	9.60344	0.00283183	
5030	0.9981	10.0025	0.0029722	
5040	0.9989	9.2927	0.00288997	
5050	0.9992	9.0224	0.00279649	
5060	0.9995	9.26256	0.0028551	
5070	0.9994	9.67391	0.00290445	
5080	0.9985	9.86331	0.00294551	
5090	0.9982	9.60158	0.00307038	
5100	0.9982	9.86263	0.00319023	
5110	0.998	9.50247	0.00295836	
5120	0.9989	9.76257	0.00306	
5130	0.9986	9.36221	0.00309239	
5140	0.9988	8.94319	0.00305832	
5150	0.9986	9.66101	0.00288603	
5160	0.9987	9.42396	0.00303217	
5170	0.999	9.22181	0.00278737	
5180	0.9988	9.11112	0.00282282	
5190	0.9984	9.382	0.00302219	
5200	0.9989	9.55252	0.00289101	
5210	0.9994	9.07172	0.002824	
5220	0.9992	9.4924	0.00285654	
5230	0.999	9.24262	0.00291698	
5240	0.9988	9.35215	0.00282057	
5250	0.9986	9.77357	0.00280674	
5260	0.9988	9.69272	0.0028987	
5270	0.998	9.68225	0.00296804	
5280	0.9993	9.27314	0.00278243	
5290	0.999	9.52218	0.00298242	
5300	0.9974	9.91237	0.00326229	
5310	0.9974	10.002	0.00304434	
5320	0.9984	9.75187	0.00294888	
5330	0.9991	9.47257	0.00291633	
5340	0.9975	9.91165	0.00294366	
5350	0.9983	9.3221	0.00312204	
5360	0.9975	10.0019	0.0030982	
5370	0.9987	9.64189	0.00297089	
5380	0.998	9.28468	0.00327285	
5390	0.9985	9.74325	0.00314721	
5400	0.9988	9.60286	0.00317949	
5410	0.9987	9.79466	0.00294451	
5420	0.9978	10.0043	0.00305134	
5430	0.9987	9.22367	0.00300836	
5440	0.9991	9.62173	0.00301211	
5450	0.9984	9.70326	0.00289477	
5460	0.9982	9.88337	0.0030668	
5470	0.9978	9.68315	0.00300309	
5480	0.9979	9.94212	0.00306783	
5490	0.998	9.76331	0.00312483	
5500	0.9983	9.80195	0.00310368	
5510	0.9982	9.48498	0.00283237	
5520	0.9988	9.89292	0.0031523	
5530	0.9984	9.63218	0.00313171	
5540	0.999	9.81268	0.00305087	
5550	0.999	9.66217	0.00276386	
5560	0.9983	9.38201	0.00295379	
5570	0.998	9.83343	0.00286169	
5580	0.9988	9.74148	0.00293009	
5590	0.9984	9.79326	0.00289351	
5600	0.9988	9.82268	0.00296896	
5610	0.9982	9.92445	0.00302631	
5620	0.9975	9.6614	0.0032056	
5630	0.9988	9.7416	0.0029908	
5640	0.9984	9.50149	0.00287977	
5650	0.9977	10.0027	0.003163	
5660	0.998	9.80269	0.00299942	
5670	0.9987	9.47243	0.00282035	
5680	0.9975	9.92385	0.00286701	
5690	0.9983	9.61219	0.00292324	
5700	0.9981	9.73324	0.00274564	
5710	0.9975	9.89388	0.00314163	
5720	0.9978	9.66284	0.00296543	
5730	0.9971	9.87159	0.00318588	
5740	0.9978	9.44325	0.00307046	
5750	0.9981	9.74271	0.0031208	
5760	0.9986	9.74251	0.00299605	
5770	0.9977	10.0043	0.0029959	
5780	0.9984	9.80165	0.00287907	
5790	0.9975	9.32272	0.00310646	
5800	0.9987	9.63191	0.00297599	
5810	0.9982	9.94243	0.00292661	
5820	0.9992	9.26232	0.00296915	
5830	0.9972	9.7716	0.0030664	
5840	0.9983	9.59233	0.00290993	
5850	0.9981	9.7916	0.00305772	
5860	0.9977	9.93461	0.00305082	
5870	0.9982	9.82192	0.0031689	
5880	0.9986	9.49194	0.00297337	
5890	0.9979	9.70303	0.0029492	
5900	0.999	9.53181	0.0028385	
5910	0.9984	9.50191	0.00315575	
5920	0.9985	9.70324	0.00286295	
5930	0.9981	9.45214	0.00301874	
5940	0.999	9.46136	0.0029547	
5950	0.9974	9.75222	0.00306515	
5960	0.9975	9.70267	0.00305653	
5970	0.9983	9.94172	0.00319949	
5980	0.9986	9.08121	0.00324789	
5990	0.9987	9.04288	0.00286901	
6000	0.998	9.93246	0.00298281	
