G	ifd_prop	time_to_IFD	sd_intake	
1640	0.9998	8.74199	0.00273581	
1650	0.9996	9.0013	0.00288206	
1660	0.9994	8.5325	0.00267401	
1670	0.9996	9.03106	0.00283334	
1680	0.9997	8.6918	0.00289419	
1690	0.999	9.33203	0.00292056	
1700	0.9992	9.43165	0.00284801	
1710	0.9995	8.87301	0.00288386	
1720	0.9992	9.50303	0.00290243	
1730	0.999	8.6919	0.00264279	
1740	0.9997	8.56227	0.00308593	
1750	0.9991	9.29207	0.00275842	
1760	0.9991	9.55255	0.00282038	
1770	0.9998	8.61227	0.00285913	
1780	0.9998	8.60163	0.00268285	
1790	0.9995	8.20156	0.003007	
1800	0.9996	8.22242	0.0027883	
1810	0.9996	8.61139	0.00290094	
1820	0.9996	8.15171	0.00266697	
1830	0.9986	9.78202	0.00302047	
1840	0.9996	8.50329	0.00267255	
1850	0.9994	8.61242	0.00283939	
1860	0.9988	9.45236	0.00285575	
1870	0.9997	8.32284	0.00291255	
1880	0.9995	9.12262	0.00288712	
1890	0.9996	8.99115	0.00314553	
1900	0.9996	8.73222	0.0029096	
1910	0.9992	9.2116	0.00287054	
1920	0.9986	9.10119	0.00301499	
1930	0.9997	8.04159	0.00301069	
1940	0.9993	9.25152	0.00277293	
1950	0.9994	8.97308	0.00307921	
1960	0.999	9.42388	0.00286611	
1970	0.9994	9.07343	0.002627	
1980	0.9992	8.68185	0.00281424	
1990	0.9993	8.79196	0.00295507	
2000	0.9995	8.96186	0.00300586	
2010	0.9992	9.64204	0.00283544	
2020	0.9995	8.62204	0.00273972	
2030	0.9991	8.95154	0.00315269	
2040	0.9994	9.5035	0.0028015	
2050	0.9999	8.87175	0.00267619	
2060	0.9994	9.60276	0.00287044	
2070	0.9993	9.32291	0.00289261	
2080	0.9996	9.16298	0.00277445	
2090	0.9995	9.02379	0.00285189	
2100	0.9989	8.83185	0.00287875	
2110	0.9994	9.12227	0.00278857	
2120	0.9991	9.32185	0.00279038	
2130	0.9995	8.97292	0.0029441	
2140	0.999	9.29186	0.00297329	
2150	0.9989	9.22215	0.00285145	
2160	0.9996	8.45196	0.00279143	
2170	0.9993	8.90283	0.00308019	
2180	0.9993	9.24263	0.00275914	
2190	0.9995	8.80264	0.00276296	
2200	0.9995	8.98193	0.00280784	
2210	0.9989	9.14191	0.00289741	
2220	0.9994	8.76242	0.00281402	
2230	0.9994	8.69311	0.00297161	
2240	0.9992	9.60213	0.00288935	
2250	0.9996	8.97162	0.00276487	
2260	0.999	9.35167	0.00316414	
2270	0.9999	8.63136	0.00278887	
2280	0.9989	9.46118	0.00285568	
2290	0.9993	9.15241	0.00282107	
2300	0.9992	9.31133	0.00276268	
2310	0.9994	8.5923	0.00294239	
2320	0.9995	8.98143	0.00300605	
2330	0.9993	8.68312	0.0029318	
2340	0.9989	9.54105	0.00307402	
2350	0.9994	7.93189	0.00281868	
2360	0.9997	8.40322	0.00294854	
2370	0.9992	9.27239	0.00299795	
2380	0.9995	8.9524	0.00300782	
2390	0.9993	9.11211	0.0027902	
2400	0.9992	9.64176	0.00285314	
2410	0.9993	8.9619	0.00278041	
2420	0.9996	8.79338	0.0028701	
2430	0.9996	9.272	0.00257092	
2440	0.9993	8.85205	0.00266992	
2450	0.9989	9.50164	0.00282567	
